# BEAST v1.5.3, Build r2376
# Generated Sun Nov 22 17:32:48 CET 2009 [seed=1258907565004]
state	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	rates11	rates12	rates13	rates14	rates15	rates16	rates17	rates18	rates19	rates20	rates21	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	indicators11	indicators12	indicators13	indicators14	indicators15	indicators16	indicators17	indicators18	indicators19	indicators20	indicators21	nonZeroRateCount	geoSiteModel.mu
100000	2.142984507924385	0.2625153849132607	0.7593101016668443	0.6373277873294992	0.3429915870018352	0.2629782074244246	0.6918901347246216	1.4068008954313043	0.6677005983265011	1.0267188709144768	1.7194708215418335	0.3304884978472591	0.8253277549227217	0.1822546357712084	0.7104260104560802	2.668457844403057	1.4021566723510102	0.045843390775047926	0.2170812196667221	1.0314954473820874	0.574485005056542	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.1035517113285047
110000	1.1333217796000727	1.419679279784778	1.714463863110179	0.9172661463252477	0.6872702882792693	0.4013890761696192	0.5646084095356774	0.7923305086699561	2.463041699994776	0.8820124876292321	2.489886228049679	0.9166402678623912	0.3265533762545196	0.3639727268281579	3.5319278591193104	0.7865590400125037	0.8018517244701769	0.6819141560288913	1.1408913222190364	0.08594811311452376	1.4151675840864095	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.3994328155576636
120000	1.2347781892262817	0.5205598680877989	0.7367206747634811	3.770955473990622	1.2976888838856302	1.0275531590513267	1.127096647721284	1.4894383822709851	0.23189487268569794	0.04913904373435471	0.07889887562386928	1.2112648362541407	1.8268211291256848	0.19007063919526543	0.07419913608118696	2.246323966147456	0.8754033946639317	0.5387216619669642	1.4459512256116873	1.6531640062906077	1.15997893768495	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0	1.055487323426828
130000	0.520910284752453	1.0297171173192818	1.4472114888996088	0.46473946068616484	3.292401953536392	0.12048995934469058	1.4150048600207799	0.7750384593417697	0.9697309841783233	0.38427093321190264	3.2194491285909828	0.08823105193482357	0.20493684495998749	0.3258922592306514	0.3081031799075932	0.22633978942647726	0.23710042510085205	0.36009909245598404	0.10957890352926886	0.5564518347639085	0.24822107358300372	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	9.0	0.27461610574926526
140000	4.685828518491137	2.782071921959895	2.322586077811789	0.23671973622426515	0.4150580619937675	2.925067072747509	0.0044700921983794875	1.7084161911460687	0.03651056748692205	0.09673408462297234	1.3378712367898893	0.6490014294237836	1.7246734869448408	0.9856943896973	0.5174697094186862	7.077487096341848	0.6857394327081074	0.3497109059685249	1.2677805266381865	0.9898302290486637	0.08198591789074124	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	0.7450674805053331
150000	0.5453224143748773	0.7122965817569725	0.8105855716008122	0.5971075915175792	0.015022766188309012	0.7051812196628658	0.46783317675015124	0.36846512175185286	3.587373198013018	0.16203192836802574	1.5747658492036518	1.3134476194111078	1.2821092412952322	1.033487851781739	0.5230006991431216	0.0736271316554197	1.9082477377429732	5.186459175285176	1.421448367614584	2.020413367240496	0.31570784383709033	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.6595104884336244
160000	0.631737040680285	2.138863069964369	0.606818601690896	0.4918941567697562	0.06484550735211204	0.44226756476038326	1.2096888585866246	0.8491064551027844	0.31650699243095026	0.28519003369242135	0.20534431711933002	0.4049746815863128	0.3567284086688661	1.4790325380674956	0.30471002039751455	0.8074399760661205	0.20565984055509276	0.9851275962146869	0.0977537395680255	0.539271848632025	0.7325767895518714	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	8.0	0.506078012534805
170000	2.9199584260082663	0.4735565855866495	1.1829674585912526	0.11904197217600591	0.2645908647391591	1.517687982992149	0.6268835577859667	0.5836158390595713	0.8838901812452262	0.043651583653966014	0.30546651896557747	0.09485639412396374	0.08208538822814253	0.1908951714216542	5.010672402511351	0.5435668765020901	1.1184027762948394	0.6636747429230931	0.40403197360831455	1.4203426333386326	0.6116633414200674	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	1.712492638260086
180000	2.666170715680784	0.4081098474863286	0.5018518817590405	0.5638149232280641	0.08986295762777656	0.13493722726513532	2.3277165244813696	0.10698269616438433	0.3455536687808783	0.43250468011448834	1.6652880278099529	0.8388624594504813	1.855821981418773	0.6442400058738956	0.9122978376937935	0.8388972111858681	0.7894805962357028	0.9029298325480734	0.15945857653316953	5.547010752128782	1.2580420974184823	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	10.0	0.47234652119491305
190000	2.972421795474199	0.45252107391926627	0.342629002178118	1.2120801570023283	0.5489601479715133	0.2993256216247839	0.5264079883202579	1.8505628207733076	0.14828481471165558	0.8069870065949877	0.6926323526333149	0.05738104877276948	0.621226957620152	0.3720507442746615	0.32588906773314075	0.7251341457507845	1.0916268383861958	0.7824562145710434	0.0964839645418787	6.944269932530562	5.737177108525143	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	2.020249009661336
